accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa,n_test,subject,model
0.8571428571428571,0.75,0.7878787878787878,0.75,0.8398268398268397,0.588235294117647,7,P24,RandomForest
1.0,1.0,1.0,1.0,1.0,1.0,7,P24,LogisticRegression
0.7142857142857143,0.5,0.4166666666666667,0.5,0.5952380952380952,0.0,7,P24,XGBoost
0.8571428571428571,0.9,0.8444444444444444,0.9,0.8634920634920634,0.6956521739130435,7,P24,conformer_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P24,bilstm_fusion
0.8571428571428571,0.9,0.8444444444444444,0.9,0.8634920634920634,0.6956521739130435,7,P24,cnn1d_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P24,tiny_tcn_fusion
0.7142857142857143,0.5,0.4166666666666667,0.5,0.5952380952380952,0.0,7,P26,Baseline
0.8571428571428571,0.75,0.7878787878787878,0.75,0.8398268398268397,0.588235294117647,7,P26,RandomForest
0.8571428571428571,0.75,0.7878787878787878,0.75,0.8398268398268397,0.588235294117647,7,P26,LogisticRegression
0.7142857142857143,0.5,0.4166666666666667,0.5,0.5952380952380952,0.0,7,P26,XGBoost
0.8571428571428571,0.75,0.7878787878787878,0.75,0.8398268398268397,0.588235294117647,7,P26,conformer_fusion
0.8571428571428571,0.75,0.7878787878787878,0.75,0.8398268398268397,0.588235294117647,7,P26,bilstm_fusion
0.8571428571428571,0.75,0.7878787878787878,0.75,0.8398268398268397,0.588235294117647,7,P26,cnn1d_fusion
0.8571428571428571,0.75,0.7878787878787878,0.75,0.8398268398268397,0.588235294117647,7,P26,tiny_tcn_fusion
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P31,Baseline
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P31,RandomForest
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P31,LogisticRegression
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P31,XGBoost
0.8571428571428571,0.5,0.46153846153846156,0.5,0.7912087912087912,0.0,7,P31,conformer_fusion
0.7142857142857143,0.8333333333333333,0.65,0.8333333333333333,0.7571428571428572,0.36363636363636376,7,P31,bilstm_fusion
1.0,1.0,1.0,1.0,1.0,1.0,7,P31,cnn1d_fusion
0.8571428571428571,0.9166666666666667,0.7878787878787878,0.9166666666666667,0.8744588744588745,0.588235294117647,7,P31,tiny_tcn_fusion
