participant,accuracy,f1_macro,precision_macro,recall_macro,auc_ovr,n_test,model
29,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,12,TorchTransformer
31,0.9130434782608695,0.6481481481481481,0.6666666666666666,0.6315789473684211,,23,TorchTransformer
35,1.0,1.0,1.0,1.0,,10,TorchTransformer
40,0.7272727272727273,0.5238095238095238,0.6666666666666666,0.4666666666666666,,11,TorchTransformer
41,0.8125,0.6666666666666666,0.75,0.625,,16,TorchTransformer
44,0.9,0.6190476190476191,0.6666666666666666,0.5833333333333334,,10,TorchTransformer
47,0.5833333333333334,0.25,0.25,0.25,,12,TorchTransformer
48,0.7333333333333333,0.625,0.75,0.5833333333333333,,15,TorchTransformer
49,0.7857142857142857,0.39285714285714285,0.5,0.35,,14,TorchTransformer
52,0.0,0.0,0.0,0.0,,11,TorchTransformer
53,0.6363636363636364,0.5416666666666666,0.8,0.6,,11,TorchTransformer
55,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.3333333333333333,,11,TorchTransformer
56,0.48148148148148145,0.21666666666666667,0.16049382716049382,0.3333333333333333,,27,TorchTransformer
58,0.43478260869565216,0.34545454545454546,0.3142857142857143,0.4,0.638421052631579,23,TorchTransformer
61,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.3333333333333333,,14,TorchTransformer
63,0.9166666666666666,0.6410256410256411,0.6666666666666666,0.6190476190476191,,12,TorchTransformer
65,1.0,1.0,1.0,1.0,,16,TorchTransformer
67,1.0,1.0,1.0,1.0,,21,TorchTransformer
70,0.65,0.3939393939393939,0.325,0.5,,20,TorchTransformer
72,0.8125,0.6444444444444444,0.9,0.625,,16,TorchTransformer
73,0.17391304347826086,0.25,0.25,0.25,,23,TorchTransformer
76,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.3333333333333333,,11,TorchTransformer
77,1.0,1.0,1.0,1.0,,12,TorchTransformer
79,0.75,0.42857142857142855,0.5,0.375,,12,TorchTransformer
82,1.0,1.0,1.0,1.0,,8,TorchTransformer
83,1.0,1.0,1.0,1.0,,8,TorchTransformer
84,0.6363636363636364,0.3333333333333333,0.3333333333333333,0.3333333333333333,,11,TorchTransformer
86,0.0,0.0,0.0,0.0,,8,TorchTransformer
87,0.6956521739130435,0.7461538461538462,0.7151515151515151,0.8,0.986399157616263,46,TorchTransformer
89,0.5789473684210527,0.5,0.5128205128205128,0.5555555555555555,,19,TorchTransformer
93,0.86,0.6995192307692308,0.7142857142857143,0.6944444444444444,,50,TorchTransformer
94,0.8333333333333334,0.6274509803921569,0.5964912280701754,0.6666666666666666,,24,TorchTransformer
95,0.4166666666666667,0.19607843137254902,0.16666666666666666,0.2380952380952381,,12,TorchTransformer
97,0.6153846153846154,0.38095238095238093,0.3076923076923077,0.5,,13,TorchTransformer
98,0.4,0.25,0.25,0.25,,10,TorchTransformer
99,0.6666666666666666,0.5555555555555556,0.8181818181818181,0.6,,12,TorchTransformer
